Entity,Code,Year,,
United States,USA,1900,100,100
United States,USA,1901,94.11764706,
United States,USA,1902,87.05882353,
United States,USA,1903,82.35294118,
United States,USA,1904,92.94117647,
United States,USA,1905,94.11764706,
United States,USA,1906,83.52941176,
United States,USA,1907,84.70588235,
United States,USA,1908,78.82352941,
United States,USA,1909,82.35294118,
United States,USA,1910,81.17647059,111.7647059
United States,USA,1911,82.35294118,
United States,USA,1912,76.47058824,
United States,USA,1913,80,
United States,USA,1914,83.52941176,
United States,USA,1915,71.52941176,
United States,USA,1916,73.17647059,
United States,USA,1917,77.88235294,
United States,USA,1918,107.7647059,
United States,USA,1919,86.70588235,
United States,USA,1920,94,114.2156863
United States,USA,1921,80.23529412,
United States,USA,1922,78.11764706,
United States,USA,1923,78.23529412,
United States,USA,1924,77.17647059,
United States,USA,1925,76.11764706,
United States,USA,1926,77.17647059,
United States,USA,1927,76.11764706,
United States,USA,1928,81.41176471,
United States,USA,1929,81.76470588,
United States,USA,1930,79.17647059,119.1176471
United States,USA,1931,77.76470588,
United States,USA,1932,74.47058824,
United States,USA,1933,72.82352941,
United States,USA,1934,69.76470588,
United States,USA,1935,68.47058824,
United States,USA,1936,66.82352941,
United States,USA,1937,57.52941176,
United States,USA,1938,51.17647059,
United States,USA,1939,47.52941176,
United States,USA,1940,44.23529412,125.4901961
United States,USA,1941,37.29411765,
United States,USA,1942,30.47058824,
United States,USA,1943,28.82352941,
United States,USA,1944,26.82352941,
United States,USA,1945,24.35294118,
United States,USA,1946,18.47058824,
United States,USA,1947,15.88235294,
United States,USA,1948,13.76470588,
United States,USA,1949,10.58823529,
United States,USA,1950,9.764705882,146.0784314
United States,USA,1951,8.823529412,
United States,USA,1952,8,
United States,USA,1953,7.176470588,
United States,USA,1954,6.164705882,
United States,USA,1955,5.529411765,
United States,USA,1956,4.811764706,
United States,USA,1957,4.823529412,
United States,USA,1958,4.423529412,
United States,USA,1959,4.4,
United States,USA,1960,4.364705882,172.0588235
United States,USA,1961,4.341176471,
United States,USA,1962,4.141176471,
United States,USA,1963,4.211764706,
United States,USA,1964,3.917647059,
United States,USA,1965,3.717647059,
United States,USA,1966,3.423529412,
United States,USA,1967,3.294117647,
United States,USA,1968,2.882352941,
United States,USA,1969,2.611764706,
United States,USA,1970,2.447058824,198.5294118
United States,USA,1971,2.317647059,
United States,USA,1972,2.070588235,
United States,USA,1973,1.905882353,
United States,USA,1974,1.670588235,
United States,USA,1975,1.552941176,225.4901961
United States,USA,1976,1.458823529,
United States,USA,1977,1.341176471,
United States,USA,1978,1.235294118,
United States,USA,1979,1.235294118,
United States,USA,1980,,245.0980392
United States,USA,1985,,259.3137255
United States,USA,1990,1.411764706,277.9411765
United States,USA,1991,1.411764706,
United States,USA,1992,1.411764706,
United States,USA,1993,1.411764706,
United States,USA,1994,1.411764706,
United States,USA,1995,1.411764706,286.7647059
United States,USA,1996,1.294117647,
United States,USA,1997,1.294117647,
United States,USA,1998,1.294117647,
United States,USA,1999,1.411764706,
United States,USA,2000,1.411764706,287.254902
United States,USA,2001,1.529411765,
United States,USA,2002,1.529411765,
United States,USA,2003,1.529411765,
United States,USA,2004,1.529411765,
United States,USA,2005,1.529411765,285.7843137
